negative,compensated_hypothyroid,primary_hypothyroid,secondary_hypothyroid,
860,2,0,1,negative
0,45,3,0,compensated_hypothyroid
3,2,26,0,primary_hypothyroid
1,0,0,0,secondary_hypothyroid
