zero,one,two,three,four,five,six,seven,eight,nine,
257,0,0,0,0,0,11,0,4,1,zero
1,245,2,2,0,1,0,3,5,0,one
8,2,199,3,4,0,20,0,7,0,two
0,8,15,161,3,26,2,3,17,3,three
0,1,3,0,160,1,2,12,1,66,four
7,0,4,15,0,165,3,6,50,2,five
24,0,9,1,0,0,204,5,5,0,six
26,0,2,1,3,0,1,180,4,27,seven
48,4,8,1,0,27,11,8,132,5,eight
11,1,0,3,23,2,1,35,11,166,nine
