zero,one,two,three,four,five,six,seven,eight,nine,
243,1,3,0,1,3,5,0,17,0,zero
0,244,0,3,0,0,2,1,8,1,one
4,2,194,5,6,3,11,2,16,0,two
0,2,10,188,2,8,2,1,15,10,three
2,2,1,0,174,0,7,1,10,49,four
7,2,2,40,3,164,8,3,15,8,five
0,5,3,0,0,2,235,0,3,0,six
1,2,1,1,7,0,0,200,8,24,seven
1,12,4,7,7,6,4,2,189,12,eight
6,1,0,4,16,1,1,12,12,200,nine
