"label","profile_text_color","profile_background_color","profile_link_color","profile_sidebar_fill_color","profile_text_color"
genuine_account,traditional_spambot,social_spambot,
1107,131,162,genuine_account
54,972,21,traditional_spambot
202,5,1752,social_spambot
Accuracy: 0.8694961416250567
